"id","lettre","mot","enonce","interp","regle"
"1","A","Abcès  ","Voir en rêve des abcès sur son corps,  ","annonce qu’il pourrait s’agir d’une fortune en fonction de la quantité de pus contenue dans ces abcès.",
"2","A","Abeilles  ","Se voir en rêve prendre du miel dans un endroit occupé par des abeilles et leur laisser une partie de ce miel,  ","annonce qu’il pourrait traiter des gens avec justice.",
"3","A","Abeilles  ","Se voir en rêve prendre du miel dans un endroit occupé par des abeilles et ne rien laisser pour ces abeilles,  ","annonce qu’il pourrait traiter des gens avec injustice et s’accaparer de leurs fortunes.",
"4","A","Abeilles  ","Voir en rêve des abeilles accéder au ciel au moyen de portes qui y sont ouvertes,  ","annonce qu’il pourrait s’agir de pluie diluvienne si les gens sont en période de sécheresse.",
"5","A","Abeilles  ","Se voir en rêve dans l’endroit approprié des abeilles et être attaqué et piqué par ces dernières,  ","annonce que certaines personnes pourraient s’allier pour lui causer un mal et elles pourraient y arriver. Ceci au cas où il serait un homme du pouvoir.",
"6","A","Abeilles  ","Se voir en rêve disposer d’abeilles,  ","annonce qu’il pourrait s’agir de butins et fortunes sans peine.",
"7","A","Abeilles  ","Se voir en rêve disposer de ce qui est dans les ventres des abeilles,  ","annonce qu’il pourrait s’agir de butins et fortunes sans peine.",
"8","A","Abeilles  ","Se voir en rêve entrer dans l’endroit réservé aux abeilles,  ","annonce qu’il pourrait s’agir de règne et victoire.",
"9","A","Abeilles  ","Se voir en rêve tuer des abeilles dans leur endroit habituel,  ","annonce qu’il pourrait exiler des personnes au cas où il serait un homme du pouvoir.",
"10","A","Abeilles  ","Se voir en rêve construire un endroit pour abeille ou s’en approprier,  ","annonce qu’il pourrait s’agir de pouvoir et règne pour l’homme du pouvoir.",
"11","A","Abeilles  ","Voir en rêve des abeilles,  ","annonce qu’il pourrait s’agir de pouvoir et bienfaits.",
"12","A","Ablutions ","Se voir en rêve ratant ses ablutions avec de l’eau et ne pas pouvoir les faire avec le sable,  ","annonce qu’il pourrait s’agir de gênes.",
"13","A","Ablutions ","Se voir en rêve accomplir la prière sans ablutions dans un endroit non approprié,  ","annonce qu’il il pourrait s’agir de perplexité.",
"14","A","Ablutions ","Se voir en rêve accomplir la prière sans ablutions,  ","annonce qu’il il pourrait s’agir d’un manque de capital pour le commerçant, de soldats pour le gouvernant ainsi que l’instabilité pour l’artisan.",
"15","A","Ablutions ","Se voir en rêve ne pas pouvoir achever ses ablutions et rater l’accomplissement d’une prière,  ","annonce qu’il pourrait s’agir de non réalisation d’un désir.",
"16","A","Ablutions ","Se voir en rêve ne pas pouvoir faire ses ablutions et rater l’accomplissement d’une prière,  ","annonce qu’il pourrait s’agir de non réalisation d’un désir.",
"17","A","Ablutions ","Se voir en rêve achever convenablement ses ablutions,  ","annonce qu’il pourrait s’agir du bon aboutissement d’une affaire qui le préoccuperait.",
"18","A","Ablutions ","Se voir en rêve faire ses ablutions,  ","annonce qu’il pourrait restituer un dépôt, s’acquitter d’une dette ou faire un témoignage.",
"19","A","Ablutions ","Se voir en rêve faire ses ablutions avec une eau propre et froide,  ","annonce qu’il pourrait s’agir d’un rêve louable.",
"20","A","Ablutions ","Se voir en rêve faire ses ablutions avec une eau propre et ardente,  ","annonce qu’il pourrait s’agir d’un rêve louable.",
"21","A","Ablutions ","Se voir en rêve faire ses ablutions avec une eau pure,  ","annonce qu’il pourrait s’agir d’un rêve louable.",
"22","A","Ablutions ","Se voir en rêve faire ses ablutions avec une eau troublée mais propre,  ","annonce qu’il pourrait s’agir d’un rêve louable.",
"23","A","Ablutions ","Se voir en rêve achever ses ablutions avec un moyen non approprié,  ","annonce qu’il pourrait s’agir du non aboutissement d’une affaire qui le préoccuperait.",
"24","A","Ablutions ","Se voir en rêve faire ses ablutions avec un moyen non approprié,  ","annonce qu’il pourrait s’agir d’ennuis sans délivrance en perspective.",
"25","A","Ablutions ","Se voir en rêve prendre de l’eau avec une poulie pour faire ses ablutions et réussir à les achever,  ","annonce qu’il pourrait s’agir de délivrance après ennuis, chagrins et dettes.",
"26","A","Ablutions ","Se voir en rêve prendre de l’eau avec une poulie pour faire ses ablutions,  ","annonce qu’il pourrait s’appuyer sur un homme pieux.",
"27","A","Ablutions ","Se voir en rêve faire ses ablutions dans un bassin rempli d’eau,  ","annonce qu’il pourrait s’agir de délivrance après ennuis.",
"28","A","Ablutions ","Se voir en rêve entrer dans un ruisseau et faire ses ablutions,  ","annonce qu’il pourrait récupérer ce qui lui aurait été volé ou sa contrepartie. Il pourrait aussi s’acquitter d’une dette.",
"29","A","Ablutions ","Se voir en rêve faire ses ablutions dans un ruisseau,  ","annonce qu’il pourrait récupérer ce qui lui aurait été volé.",
"30","A","Ablutions ","Se voir en rêve achever ses ablutions et entamer la prière,  ","annonce qu’il pourrait s’agir de délivrance après ennuis et il en serait reconnaissant à l’égard du Très-Haut.",
"31","A","Ablutions ","Se voir en rêve faire ses ablutions pour entamer une prière,  ","annonce qu’il pourrait être protégé contre l’irritation du Très-Haut.",
"32","A","Ablutions avec le sable (Tayammum) ","Se voir en rêve ratant ses ablutions avec le sable,  ","annonce qu’il pourrait s’agir de gênes.",
"33","A","Ablutions avec le sable (Tayammum) ","Se voir en rêve ratant ses ablutions avec de l’eau et ne pas pouvoir les faire avec le sable,  ","annonce qu’il pourrait s’agir de gênes.",
"34","A","Ablutions avec le sable (Tayammum) ","Se voir en rêve ne pas pouvoir utiliser l’eau pour ses ablutions et recourir au sable pour se faire convenablement,  ","annonce qu’il pourrait s’agir du non aboutissement d’une affaire qui le préoccuperait.",
"35","A","Ablutions avec le sable (Tayammum) ","Se voir en rêve ne pas pouvoir utiliser l’eau pour ses ablutions et recourir au sable pour se faire sans pouvoir achever cette ablution,  ","annonce qu’il pourrait s’agir du non aboutissement d’une affaire qui le préoccuperait.",
"36","A","Ablutions avec le sable (Tayammum) ","Se voir en rêve faisant ses ablutions avec le sable,  ","annonce qu’il pourrait s’agir de l’approche de la délivrance.",
"37","A","Aboiement du chien ","Se voir en rêve entendre l’aboiement du chien,  ","annonce qu’il pourrait s’agir de remords suite à une injustice.",
"38","A","Abraham sur lui le salut ","Celle qui voit en rêve Abraham sur lui le salut,  ","annonce qu’il pourrait s’agir de chagrins et ennuis avec son époux à cause de l’un des enfants, ou bien que ce dernier subirait une dure épreuve avec toutefois, une issue favorable par la suite.",
"39","A","Abraham sur lui le salut ","Voir en rêve Abraham, sur lui le salut,  ","annonce qu’il pourrait s’agir d’accomplissement du rite de pèlerinage, une épouse pieuse ainsi que des bienfaits de la part du Très-Haut. Il pourrait s’agir aussi d’une souffrance à cause d’un despote avant de le vaincre par la suite ou bien que le rêveur serait désobéissant à l’égard de son père.",
"40","A","Abreuvage, arrosage ","Se voir en rêve donner de l’eau à un homme et être payé en contrepartie,  ","annonce qu’il pourrait s’agir d’une faute ou péché. Ce rêve figure aussi que la personne ayant reçu l’eau en rêve disposerait d’une fortune de la part d’un sultan.",
"41","A","Abreuvage, arrosage ","Celle qui se voit en rêve abreuver,  ","annonce qu’elle pourrait être une femme menteuse.",
"42","A","Abreuvage, arrosage ","Se voir en rêve dans un verger et observer un servant l’arroser de l’eau d’un puits d’un autre verger,  ","annonce qu’un homme pourrait le tromper avec son épouse ou sa servante.",
"43","A","Abreuvage, arrosage ","Se voir en rêve dans un verger et observer un esclave l’arroser de l’eau d’un puits d’un autre verger,  ","annonce qu’un homme pourrait le tromper avec son épouse ou sa servante.",
