"id";"lettre";"mot";"enonce";"interp";"regle"
"1";"A";"Ablution ";"See oneself in dream making his ablutions to start a prayer,   ";"announces that he could be protected against the irritation of Allah The Almighty.";
"2";"A";"Ablution ";"See oneself in dream getting into a stream and make his ablutions,   ";"announces that he could recover what was stolen or its counterparty. He could also pay a debt.";
"3";"A";"Ablution ";"See oneself in dream making his ablutions in a stream,   ";"announces that he could recover what was stolen.";
"4";"A";"Ablution ";"See oneself in dream taking water with a pulley to make his ablutions,   ";"announces that he could rely on a pious man.";
"5";"A";"Ablution ";"See oneself in dream making his ablutions,   ";"announces that he could return a deposit, pay a debt or make a testimony.";
"6";"A";"Ablution ";"See oneself in dream making his ablutions with clean cold water,   ";"announces that it could be a laudable dream.";
"7";"A";"Ablution ";"See oneself in dream making his ablutions with clean ardent water,   ";"announces that it could be a laudable dream.";
"8";"A";"Ablution ";"See oneself in dream performing the prayer without ablution,   ";"announces that it could mean a lack of capital to the merchant, soldiers for the governor and the instability for the craftsman.";
"9";"A";"Ablution ";"See oneself in dream making his ablutions with clear water,   ";"announces that it could mean a laudable dream.";
"10";"A";"Ablution ";"See oneself in dream making his ablutions with troubled but clean water,   ";"announces that it could mean a laudable dream.";
"11";"A";"Ablution ";"See oneself in dream completing his ablutions with improper means,   ";"announces that it could mean difficulties relating to case that he would be concerned about.";
"12";"A";"Ablution ";"See oneself in dream missing ablution with water and not able to do it with the sand,   ";"announces that it could mean discomfort.";
"13";"A";"Ablution ";"See oneself in dream completing his ablutions and start praying,   ";"announces that it could mean happy outcome after trouble and he would be grateful to the Allah The Almighty.";
"14";"A";"Ablution ";"See oneself in dream taking water with a pulley to make his ablutions and successfully complete them,   ";"announces that it could mean happy outcome after trouble, sorrow and debt.";
"15";"A";"Ablution ";"See oneself in dream making his ablutions in a basin filled with water,   ";"announces that it could mean happy outcome after trouble.";
"16";"A";"Ablution ";"See oneself in dream unable to complete his ablutions and miss the accomplishment of a prayer,   ";"announces that it could mean non-satisfaction of a wish.";
"17";"A";"Ablution ";"See oneself in dream not to perform his ablutions and miss the accomplishment of a prayer,   ";"announces that it could mean non-satisfaction of a wish.";
"18";"A";"Ablution ";"See oneself in dream performing the prayer without ablutions in an unsuitable place,   ";"announces that it could mean perplexity.";
"19";"A";"Ablution ";"See oneself in dream achieving properly his ablutions,   ";"announces that it could mean that it could men good conduct of a case that he would be concerned about.";
"20";"A";"Ablution ";"See oneself in dream making his ablutions with improper means,   ";"announces that it could mean trouble for a long time.";
"21";"A";"Ablution with sand (Tayammum) ";"See oneself in dream not able to use water for ablution and use the sand to do it properly,   ";"announces that a pending case may not come to its end.";
"22";"A";"Ablution with sand (Tayammum) ";"See oneself in dream not able to use water for ablution and trying unsuccessfully to perform ablution with sand,   ";"announces that a pending case may not come to its end.";
"23";"A";"Ablution with sand (Tayammum) ";"See oneself in dream missing ablution with sand,   ";"announces that it could mean discomfort.";
"24";"A";"Ablution with sand (Tayammum) ";"See oneself in dream missing ablution with water and not able to do it with the sand,   ";"announces that it could mean discomfort.";
"25";"A";"Ablution with sand (Tayammum) ";"See oneself in dream performing ablution with sand,   ";"announces that it could mean happy outcome.";
"26";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream unable to complete the purification by ablutions after state impurity,   ";"announces that a pending affair may not reach its end";
"27";"A";"Ablutions, Great ablutions (Ightissal) ";"See oneself in dream purified by ablutions after state impurity and wearing his clothes,   ";"announces that it could mean a good outcome after a confused situation. ";
